invoice_id,customer_name,name,agentid,order_date,subtotal,tax,discount,total,paid,due,payment_type,comms,profit,ep_orderid,shipment_type,awb,awb_link,tracking_url,status,remark,timestamp
8,"0",WALK-IN,12,2022-09-05,160,"0","0",160,160,"0",Cash,14.4,38,"","0","","","","","",2023-01-13 04:23:04
13,"0",WALK-IN,"0",2022-09-06,5148,"0","0",5148,5148,"0",Cash,"0",477,"","0","","","","","",2025-06-08 11:09:16
14,"0",WALK-IN,"0",2022-09-06,25,"0","0",25,25,"0",Cash,"0",13,"","0","","","","","",2025-06-08 11:10:05
15,"0",WALK-IN,25,2022-09-07,50,"0","0",50,50,"0",Card,"0",19.3,"","0","","","","","",2023-01-13 04:25:07
16,"0",WALK-IN,12,2022-09-07,1,"0","0",1,1,"0",Cash,"0.09","0","","0","","","","","",2022-09-07 07:32:34
17,"0",WALK-IN,25,2022-09-07,169,"0","0",169,169,"0",Cash,"0",59,"","0","","","","","",2022-09-07 07:57:56
18,"0",WALK-IN,24,2022-09-09,2249,"0","0",2249,2249,"0",Cash,"0",164,"","0","","","","","",2023-01-13 04:27:35
20,"0",WALK-IN,24,2022-09-09,2349,"0","0",2349,2349,"0",Cash,"0",249,"","0","","","","","",2022-09-21 07:42:10
21,"0",WALK-IN,24,2022-09-09,380,"0","0",380,380,"0",Cash,"0",130,"","0","","","","","",2022-09-21 07:43:45
22,"0",WALK-IN,24,2022-09-09,2249,"0","0",2249,2249,"0",Card,"0",218,"","0","","","","","",2023-01-13 04:29:56
26,"0",WALK-IN,24,2022-09-10,2249,"0","0",2249,2249,"0",Cash,"0",265,"","0","","","","","",2022-09-21 07:47:49
28,38,Kamal,12,2022-09-12,5799,"0","0",5799,5799,"0",Cash,521.91,640,"","0","","","","","",2022-09-12 03:30:15
29,"0",WALK-IN,12,2022-09-12,2504,"0","0",2504,2504,"0",Cash,225.36,247,"","0","","","","","",2022-09-12 07:03:31
30,"0",WALK-IN,12,2022-09-12,139,"0","0",139,139,"0",Cash,12.51,19,"","0","","","","","",2022-09-12 07:16:44
31,"0",WALK-IN,24,2022-09-14,65,"0","0",65,65,"0",Cash,"0",9,"","0","","","","","",2022-09-14 06:52:23
34,"0",WALK-IN,24,2022-09-14,2627,"0","0",2444,2444,"0",Cash,"0",301,"","0","","","",Completed,"",2022-09-15 07:36:56
35,"0",WALK-IN,24,2022-09-15,2449,"0","0",2449,2449,"0",Cash,"0",257,"","0","","","","","",2022-09-15 04:55:17
36,"0",WALK-IN,24,2022-09-15,2389,"0","0",2389,2389,"0",Cash,"0",275,"","0","","","","","",2022-09-15 06:49:06
37,"0",WALK-IN,24,2022-09-15,2149,"0","0",2149,2149,"0",Cash,"0",27,"","0","","","","","",2022-09-15 08:52:30
39,"0",WALK-IN,24,2022-09-16,2389,"0","0",2389,2389,"0",Cash,"0",207,"","0","","","","","",2022-09-16 07:06:09
41,"0",WALK-IN,24,2022-09-16,1999,"0","0",1999,1999,"0",Cash,"0",239,"","0","","","","","",2022-09-21 07:46:27
42,"0",WALK-IN,12,2022-09-20,5150,"0","0",5150,5150,"0",Cash,463.5,473,"","0","","","","","",2022-09-20 08:31:04
43,"0",WALK-IN,12,2022-09-21,89,"0","0",89,89,"0",Cash,8.01,54,"","0","","","","","",2022-09-21 07:09:15
44,"0",WALK-IN,12,2022-09-21,89,"0","0",89,89,"0",Cash,8.01,39,"","0","","","","","",2022-09-21 07:12:10
45,"0",WALK-IN,12,2022-09-21,2149,"0","0",2149,2149,"0",Cash,193.41,205,"","0","","","","","",2022-09-21 07:30:19
46,"0",WALK-IN,12,2022-09-22,217,"0","0",217,217,"0",Cash,19.53,71,"","0","","","","","",2022-09-22 05:32:18
47,"0",WALK-IN,12,2022-09-22,2400,"0","0",2400,2400,"0",Cash,216,298,"","0","","","","","",2022-09-22 08:24:49
48,"0",WALK-IN,12,2022-09-22,60,"0","0",60,60,"0",Cash,5.4,25,"","0","","","","","",2022-09-22 08:15:23
49,"0",WALK-IN,24,2022-09-23,89,"0","0",89,89,"0",Card,"0",39,"","0","","","","","",2022-09-23 10:05:36
50,"0",WALK-IN,24,2022-09-24,2564,"0","0",2564,2564,"0",Cash,"0",317,"","0","","","","","",2022-09-24 04:54:04
51,"0",WALK-IN,12,2022-09-26,5800,"0","0",5800,5800,"0",Online Transfer,522,609,"","0","","","","","",2022-09-26 07:46:44
52,"0",WALK-IN,24,2022-09-27,25.99,"0","0",25.99,25.99,"0",Cash,"0",13.99,"","0","","","","","",2022-09-27 04:44:23
53,"0",WALK-IN,24,2022-09-28,1269,"0","0",1269,1269,"0",Cash,"0",275,"","0","","","","","",2022-09-28 04:32:32
54,"0",WALK-IN,24,2022-09-28,95,"0","0",95,95,"0",Online Transfer,"0",14,"","0","","","","","",2022-09-28 05:33:34
55,"0",WALK-IN,24,2022-09-29,2528,"0","0",2528,2528,"0",Cash,"0",287,"","0","","","","","",2022-09-29 06:41:43
58,39,Sunlight Galaxy Sdn Bhd,24,2022-10-01,5899,"0","0",5899,5899,"0",Cash,"0",500,"","0","","","","","",2022-10-01 04:34:08
60,"0",WALK-IN,24,2022-10-01,2434,"0","0",2434,2434,"0",Card,"0",225,"","0","","","","","",2022-10-01 09:22:30
62,376,WALK-IN,24,2022-10-03,2586,"0","0",2586,2586,"0",Card,"0",242,"","0","","","","","",2023-11-02 08:25:34
63,"0",WALK-IN,24,2022-10-04,7198,"0","0",7198,7198,"0",Cash,"0",1008,"","0","","","","","",2022-10-04 04:27:59
64,"0",WALK-IN,24,2022-10-05,1349,"0","0",1349,1349,"0",Cash,"0",234,"","0","","","","","",2022-10-05 04:17:17
65,"0",WALK-IN,24,2022-10-05,115,"0","0",115,115,"0",Cash,"0",29,"","0","","","","","",2022-10-05 05:12:32
66,"0",WALK-IN,24,2022-10-05,4570,"0","0",4570,4570,"0",Cash,"0",530,"","0","","","","","",2022-10-11 08:00:26
67,40,WALK-IN,24,2022-10-05,2549,"0","0",2549,2549,"0",Online Transfer,"0",250,"","0","","","","","",2022-10-05 09:53:07
69,"0",WALK-IN,24,2022-10-06,5244,"0","0",5244,5244,"0",Online Transfer,"0",519,"","0","","","","","",2022-10-06 09:05:42
70,"0",WALK-IN,24,2022-10-06,5210,"0","0",5210,5210,"0",Card,"0",494,"","0","","","","","",2022-10-06 10:14:30
71,"0",WALK-IN,24,2022-10-08,95,"0","0",95,95,"0",Cash,"0",14,"","0","","","","","",2022-10-08 08:35:32
72,"0",WALK-IN,24,2022-10-11,10,"0","0",10,10,"0",Cash,"0",8,"","0","","","","","",2022-10-11 04:16:37
74,"0",WALK-IN,24,2022-10-12,69,"0","0",69,69,"0",Cash,"0",34,"","0","","","","","",2022-10-12 10:39:03
75,"0",WALK-IN,24,2022-10-12,2378,"0","0",2378,2378,"0",Cash,"0",42,"","0","","","","","",2022-10-12 11:53:01
76,"0",WALK-IN,24,2022-10-12,99,"0","0",99,99,"0",Cash,"0",33,"","0","","","","","",2022-10-12 12:00:56
77,"0",WALK-IN,24,2022-10-13,2489,"0","0",2489,2489,"0",Online Transfer,"0",311,"","0","","","","","",2022-10-13 11:23:23
78,"0",WALK-IN,24,2022-10-14,5180,"0","0",5180,5180,"0",Card,"0",469,"","0","","","","","",2022-10-14 04:44:21
79,"0",WALK-IN,24,2022-10-14,1599,"0","0",1599,1599,"0",Cash,"0",94,"","0","","","","","",2022-10-14 05:06:34
80,"0",WALK-IN,24,2022-10-14,2498,"0","0",2498,2498,"0",Cash,"0",238,"","0","","","","","",2022-10-14 10:22:20
81,"0",WALK-IN,24,2022-10-18,5095,"0","0",5095,5095,"0",Cash,"0",514,"","0","","","","","",2022-10-20 10:20:42
82,"0",WALK-IN,24,2022-10-19,2478,"0","0",2478,2478,"0",Cash,"0",225,"","0","","","","","",2022-10-19 04:58:22
83,"0",WALK-IN,24,2022-10-19,2637,"0","0",2637,2637,"0",Online Transfer,"0",389,"","0","","","","","",2022-10-19 05:30:55
84,"0",WALK-IN,24,2022-10-20,2898,"0","0",2898,2898,"0",Cash,"0",305,"","0","","","","","",2022-10-20 06:32:00
85,"0",WALK-IN,24,2022-10-20,2599,"0","0",2599,2599,"0",Cash,"0",267,"","0","","","","","",2022-10-20 10:33:53
86,42,Stellar 86 Sdn Bhd,24,2022-10-21,2299,"0","0",2299,2299,"0",Cash,"0",227,"","0","","","","","",2022-10-21 04:35:19
87,"0",WALK-IN,24,2022-10-21,3847,"0","0",3799,3799,"0",Cash,"0",472,"","0","","","","","",2022-10-21 06:37:50
88,"0",WALK-IN,24,2022-10-22,2728,"0","0",2728,2728,"0",Card,"0",325,"","0","","","","","",2022-10-22 07:37:01
89,"0",WALK-IN,24,2022-10-22,1869,"0","0",1869,1869,"0",Cash,"0",113,"","0","","","","","",2022-10-22 08:24:53
90,"0",WALK-IN,24,2022-10-22,5.99,"0","0",5.99,5.99,"0",Cash,"0",3.99,"","0","","","","","",2022-10-22 08:50:30
91,"0",WALK-IN,24,2022-10-22,3128,"0","0",3128,3128,"0",Cash,"0",471,"","0","","","","","",2022-10-22 09:30:51
